address,propertyType,suburb,ok,midpoint,low,high,confidence,dataScore,compCount,elapsedMs,source
"E01/42 Stephen Street, Yarraville, Yarraville, VIC ",House,Yarraville,true,1314125,1117006,1511244,Low-Medium,46,12,3174,,existing
"8 Ailsa Street, Laverton, Laverton, VIC ",House,Laverton,true,577162,490588,663736,High,90,12,4405,,existing
"204/404 Burwood Highway, Wantirna South, Wantirna South, VIC ",Unit,Wantirna South,true,417230,354646,479814,Low-Medium,43,3,3175,,existing
"2 Briar Rose Walk, Croydon South, Croydon South, VIC ",House,Croydon South,true,752208,639377,865039,High,78,12,3584,,existing
"9 Banjo Circuit, Lynbrook, Lynbrook, VIC ",House,Lynbrook,true,794958,675714,914202,Medium-High,72,12,4506,,existing
"111 Gowanbrae Drive, Gowanbrae, Gowanbrae, VIC ",House,Gowanbrae,true,968714,823407,1114021,Low-Medium,45,12,3172,,existing
"2 Auburn Crescent, Doncaster, Doncaster, VIC 3108",House,Doncaster,true,1068526,908247,1228805,Medium,52,10,4507,,existing
"20 Akuna Avenue, Notting Hill, Notting Hill, VIC ",House,Notting Hill,true,2929207,2489826,3368588,Medium,57,9,3691,,existing
"10 Breadalbane Avenue, Cairnlea, Cairnlea, VIC ",House,Cairnlea,true,1017920,865232,1170608,High,79,12,4502,,existing
"5909/70 Southbank Boulevard, Southbank, Southbank, VIC 3006",Unit,Southbank,true,575773,489407,662139,Low-Medium,46,11,4303,,existing
"7 Plane Street, Thomastown, Thomastown, VIC ",House,Thomastown,true,711318,604620,818016,High,87,12,4603,,existing
"3/18 Tudor Street, Glenroy, Glenroy, VIC ",Unit,Glenroy,true,583539,496008,671070,Medium-High,65,6,3379,,existing
"38 Ferris Street, Sunbury, Sunbury, VIC ",House,Sunbury,true,679070,577210,780930,Medium-High,66,12,4507,,existing
"1/8 Florence Road, Surrey Hills, Surrey Hills, VIC ",Unit,Surrey Hills,true,1057960,899266,1216654,Low-Medium,48,5,3276,,existing
"4 Vule Street, St Albans, St Albans, VIC ",House,St Albans,true,463907,394321,533493,Medium,61,12,4607,,existing
"2/51-53 Bank Street, Box Hill, Box Hill, VIC ",Unit,Box Hill,true,506344,430392,582296,Low-Medium,46,12,2970,,existing
"308/118 Cairnlea Drive, Cairnlea, Cairnlea, VIC ",Unit,Cairnlea,true,359146,305274,413018,Medium-High,65,6,2357,,existing
"25 Nira Drive, Sunbury, Sunbury, VIC ",House,Sunbury,true,679070,577210,780930,Medium-High,66,12,3890,,existing
"1 Glyndon Avenue, Coburg North, Coburg North, VIC ",House,Coburg North,true,1108630,942336,1274925,Medium-High,70,11,4404,,existing
"2/47 Union Street, Brighton East, Brighton East, VIC ",Unit,Brighton East,true,936880,796348,1077412,Low-Medium,43,3,3892,,existing
"16 Wolseley Parade, Kensington, Kensington, VIC 3031",House,Kensington,true,1348718,1253451,1443985,Medium-High,70,8,5323,,existing
"7 Nareen Avenue, Endeavour Hills, Endeavour Hills, VIC ",House,Endeavour Hills,true,765102,650337,879867,Medium-High,67,12,4303,,existing
"306/1090 Nepean Highway, Highett, Highett, VIC ",Unit,Highett,true,555126,471857,638395,Low-Medium,46,4,3341,,existing
"1405/851 Whitehorse Road, Box Hill, Box Hill, VIC ",Unit,Box Hill,true,506344,430392,582296,Low-Medium,46,12,2802,,existing
"249/173 City Road,, Southbank, Southbank, VIC 3006",Unit,249/173 City Road,true,575773,489407,662139,Low-Medium,46,11,3001,,existing
"3/47 Moonya Road, Carnegie, Carnegie, VIC 3163",Unit,Carnegie,true,677519,575891,779147,Low-Medium,47,12,2629,,existing
"4/26 Beach Avenue, Elwood, Elwood, VIC 3184",Unit,Elwood,true,548549,466267,630831,Low-Medium,46,8,3278,,existing
"8 Cinerea Glade, Langwarrin, Langwarrin, VIC ",House,Langwarrin,true,834614,709422,959806,High,82,12,4505,,existing
"902/101 Tram Road, Doncaster, Doncaster, VIC 3108",Unit,Doncaster,true,685140,582369,787911,Low-Medium,47,7,2355,,existing
"18 Verdon Street, Clyde, Clyde, VIC ",House,Clyde,true,763838,650106,877570,Medium-High,71,12,3686,,existing
"111/220 Bay Road, Sandringham, Sandringham, VIC ",Unit,Sandringham,true,733672,623621,843723,Low-Medium,46,8,1951,,existing
"40 Finch Street, Burwood, Burwood, VIC ",House,Burwood,true,1588840,1350514,1827166,Medium,55,9,3477,,existing
"3/9 Wilgah Street, Thomastown, Thomastown, VIC ",Unit,Thomastown,true,501127,425958,576296,Low-Medium,34,2,3280,,existing
"4/54-56 Gladstone Street, St Albans, St Albans, VIC ",Unit,St Albans,true,655714,557357,754071,Medium,58,5,2557,,existing
"7 Kalawar Avenue, Bayswater North, Bayswater North, VIC ",House,Bayswater North,true,809577,688140,931014,High,80,12,4711,,existing
"404/107 Hawke Street, West Melbourne, West Melbourne, VIC ",Unit,West Melbourne,true,603569,513034,694104,Low-Medium,46,12,2662,,existing
"30 Madura Promenade, Mickleham, Mickleham, VIC ",House,Mickleham,true,611874,520093,703655,Medium-High,65,12,3638,,existing
"13 Sturdee Road, Donvale, Donvale, VIC ",House,Donvale,true,1473876,1252795,1694957,Low-Medium,46,12,4534,,existing
"1108/65 Dudley Street, West Melbourne, West Melbourne, VIC 3003",Unit,West Melbourne,true,605575,514739,696411,Low-Medium,46,12,2989,,existing
"314 Serpells Road, Templestowe, Templestowe, VIC ",House,Templestowe,true,1492141,1268320,1715962,Medium,58,12,4540,,existing
"16a St Kinnord Street, Aberfeldie, Aberfeldie, VIC ",House,Aberfeldie,true,2104492,1788818,2420166,Medium,62,12,5394,,existing
"48 Medway Road, Craigieburn, Craigieburn, VIC ",House,Craigieburn,true,709718,603260,816176,Medium,60,12,4095,,existing
"2/13 Slevin Street, Lilydale, Lilydale, VIC ",Unit,Lilydale,true,671679,570927,772431,Low-Medium,34,1,3380,,existing
"2 Gunbower Close, Thomastown, Thomastown, VIC ",House,Thomastown,true,714401,607241,821561,High,97,12,3685,,existing
"19 Glenvale Road, Donvale, Donvale, VIC ",House,Donvale,true,1473876,1252795,1694957,Low-Medium,46,12,3633,,existing
"2 Albany Court, Wantirna, Wantirna, VIC ",House,Wantirna,true,1030518,875940,1185096,Medium,62,12,3622,,existing
"25 Belindavale Drive, Knoxfield, Knoxfield, VIC ",House,Knoxfield,true,777754,661091,894417,High,83,12,3484,,existing
"20 Oban Road, Officer South, Officer South, VIC ",House,Officer South,true,900984,765836,1036132,High,80,12,4197,,existing
